,hash_id,Vlak,Vecerka,Obchod,Bus,Skola,Skolka,Lekar,Hospoda,Restaurace,Metro,Tram,date_update,building_type,building_condition,building_location,area_net,price_note,energy_efficient_rating,building_floor_type,building_floor,garage,swimming_pool,area_landplot,cellar,house_location,price,lat,lon,locality,region,lat_cen,lon_cen,city_dist
4104,1533004,4289.0,3621.0,0.0,130.0,0.0,0.0,0.0,1486.0,3629.0,0.0,0.0,28.01.2024,Cihlová,Před rekonstrukcí,Klidná část obce,290.0,,G,Patrový,2,,,4371.0,,Samostatný,3690000,49.828941,15.066698,"Petrovice II - Nové Nespeřice, okres Kutná Hora",11,50.0875,14.4213889,54.38392880004115
4106,1011979596,1301.0,170.0,0.0,126.0,334.0,576.0,0.0,734.0,316.0,0.0,0.0,09.01.2024,Cihlová,Dobrý,Klidná část obce,278.0,,G,Patrový,,17,,738.0,70,Samostatný,6100000,49.636833,14.637591,"Palackého, Votice",11,50.0875,14.4213889,52.453396691932745
4107,55678284,637.0,20.0,0.0,84.0,193.0,271.0,0.0,15.0,106.0,0.0,0.0,23.01.2024,Cihlová,Novostavba,Klidná část obce,100.0,,B,Přízemní,1,,,790.0,,Samostatný,7790000,50.049999,15.034629,"Plaňany, okres Kolín",11,50.0875,14.4213889,43.96651924091637
4108,3108083020,1834.0,416.0,0.0,431.0,2095.0,1962.0,0.0,3783.0,526.0,0.0,0.0,11.12.2023,Dřevěná,Novostavba,Klidná část obce,99.0,Cena je uvedena včetně právního servisu a provize RK.,B,Přízemní,1,,,938.0,,Samostatný,9500000,49.833771,13.990643,"Větrná, Lhotka",11,50.0875,14.4213889,41.778019805355385
4109,2028647756,655.0,556.0,0.0,1098.0,676.0,676.0,0.0,2511.0,440.0,0.0,0.0,11.12.2023,Cihlová,Velmi dobrý,Klidná část obce,230.0,Neplatíte provizi,,Patrový,2,1,1.0,826.0,,Samostatný,19800000,49.905117,14.715938,"Na Ježově, Mirošovice",11,50.0875,14.4213889,29.23298721164018
4110,2338428236,553.0,3349.0,0.0,27.0,238.0,263.0,0.0,470.0,47.0,0.0,0.0,22.12.2023,Smíšená,Před rekonstrukcí,Centrum obce,350.0,,G,Patrový,2,,,676.0,,Řadový,5800000,49.889008,15.484775,"Zámecké náměstí, Žleby",11,50.0875,14.4213889,79.1620602167782
4111,39241036,1808.0,84.0,2817.0,210.0,364.0,369.0,0.0,1755.0,226.0,0.0,0.0,Včera,Cihlová,Novostavba,Klidná část obce,192.0,Včetně provize,B,Patrový,2,1,,800.0,,Samostatný,15690000,50.1754,14.550271,"U Kovárny, Veleň",11,50.0875,14.4213889,13.413622815221418
4112,3558970700,4420.0,1135.0,5572.0,161.0,936.0,1037.0,5031.0,2683.0,1261.0,0.0,0.0,23.01.2024,Cihlová,Po rekonstrukci,,268.0,,D,Patrový,2,1,,581.0,1,Samostatný,10120000,50.179928,14.050998,"Na Průhoně, Svinařov",11,50.0875,14.4213889,28.329828495792523
4113,77763916,972.0,541.0,727.0,140.0,333.0,316.0,0.0,937.0,142.0,4187.0,3927.0,16.01.2024,Smíšená,Po rekonstrukci,,220.0,,G,Patrový,,,,687.0,1,,25900000,50.081497,14.258491,"Hostivice, okres Praha-západ",11,50.0875,14.4213889,11.641755507125994
4114,1310893388,1258.0,379.0,1290.0,172.0,626.0,626.0,1756.0,1629.0,445.0,0.0,0.0,16.01.2024,Cihlová,Velmi dobrý,,121.0,,G,Přízemní,1,,,619.0,,Samostatný,12990000,50.005581,14.676163,"Nad Potokem, Říčany - Pacov",11,50.0875,14.4213889,20.345310812426707
4115,672089164,2182.0,1187.0,3078.0,250.0,220.0,1049.0,2661.0,589.0,1086.0,0.0,0.0,12.12.2023,Smíšená,Dobrý,Klidná část obce,160.0,Včetně provize RK a kompletního právního servisu. ,G,Patrový,3 včetně 1 podzemního,1,,350.0,1,Řadový,5900000,50.175846,14.091063,"Vinařice, okres Kladno",11,50.0875,14.4213889,25.512346866537147
4116,3826423116,1733.0,995.0,3817.0,594.0,800.0,991.0,0.0,1133.0,575.0,0.0,0.0,23.01.2024,Smíšená,Velmi dobrý,Klidná část obce,122.0,Včetně provize RK a kompletních právních služeb.,,Patrový,2,16,1.0,402.0,,Řadový,12495000,50.092068,14.123281,"Jahodová, Unhošť",11,50.0875,14.4213889,21.27341217360715
4118,3008533836,0.0,686.0,1316.0,402.0,730.0,688.0,0.0,2045.0,585.0,0.0,0.0,15.12.2023,Dřevěná,Novostavba,Centrum obce,194.0,,A,Patrový,2,,,1100.0,,Samostatný,18000000,49.991081,14.741483,"Mukařov, okres Praha-východ",11,50.0875,14.4213889,25.249187573653508
4125,833852748,2927.0,2326.0,0.0,32.0,3609.0,3347.0,0.0,2179.0,2634.0,0.0,0.0,14.12.2023,Dřevěná,Novostavba,Centrum obce,78.0,,A,Přízemní,1,,,708.0,,Samostatný,7400000,50.263832,14.191087,"Velvary - Ješín, okres Kladno",11,50.0875,14.4213889,25.562074363229247
4127,1673762124,2757.0,2406.0,0.0,205.0,2787.0,3852.0,4475.0,90.0,2231.0,0.0,0.0,Dnes,Kamenná,Dobrý,Klidná část obce,212.0,,G,Přízemní,,,,292.0,,Samostatný,3990000,50.312706,14.047977,"Páleč, okres Kladno",11,50.0875,14.4213889,36.516951341172145
4128,3015939404,0.0,1082.0,0.0,114.0,1101.0,973.0,0.0,1082.0,3116.0,0.0,0.0,29.01.2024,Smíšená,Po rekonstrukci,,250.0,Cena k jednání.,E,Přízemní,1,,,1796.0,,Samostatný,8500000,49.915478,14.973226,"Horní Kruty - Bohouňovice II, okres Kolín",11,50.0875,14.4213889,43.834609023382605
4129,2145621324,655.0,548.0,0.0,73.0,3648.0,59.0,0.0,3613.0,1713.0,0.0,0.0,Dnes,Cihlová,Dobrý,Klidná část obce,85.0,V případě více zájemců může RK využít pro výběr kupujícího formu aukce.,G,Přízemní,1,,,236.0,,Samostatný,3259000,50.05669,13.620298,"Zavidov, okres Rakovník",11,50.0875,14.4213889,57.27411773136218
4130,3894343500,1813.0,443.0,0.0,247.0,468.0,242.0,0.0,3027.0,428.0,0.0,0.0,15.11.2023,Cihlová,Velmi dobrý,Klidná část obce,299.0,,G,Patrový,,,,599.0,,Samostatný,6300000,49.899445,14.852757,"U Jabloně, Stříbrná Skalice",11,50.0875,14.4213889,37.25745479561712
